,City,Purchase Power,Health Care,Pollution,QoL_H,Crime Rating,Unesco,lat,lng,Country
55,Utrecht,50.88335088335087,66.64448289631308,19.768448387794848,85.0726599928411,25.253874933190808,72.72727272727273,52.09073739999999,5.121420099999999,Netherlands
56,Nairobi,11.044811044811047,53.91987222148278,42.371780999783596,17.092286207931117,81.53393907001603,0.0,-1.2920658999999999,36.821946200000006,Kenya
57,Kuala Lumpur,35.930735930735935,47.09170770664183,75.36247565462023,42.761670357904165,77.56547300908603,0.0,3.1390029999999998,101.68685500000001,Malaysia
58,Manila,9.851409851409853,79.50219619326502,70.56914087859771,29.5016235802257,74.15820416889363,9.090909090909092,14.599512400000002,120.98421950000001,Philippines
59,Valencia,49.994149994149986,68.20178357513643,38.130274832287384,58.985443087974105,20.283270978086584,0.0,28.521792200000004,-81.46357669999998,Philippines
60,Lima,19.702819702819703,43.75083189138827,63.287167279809566,35.702052187518696,72.75521111704971,9.090909090909092,-12.0463731,-77.042754,Peru
61,Rome,30.817830817830817,54.31918008784774,21.46721488855226,44.19848482525552,68.78674505611973,45.45454545454545,41.902783500000005,12.4963655,Italy
62,Naples,33.930033930033936,27.738586450153075,12.995022722354468,53.38262338496381,61.21058257616247,45.45454545454545,40.87613410000001,14.5198315,Italy
63,Milan,43.348543348543345,67.25675495807269,23.90175286734473,52.17478382252078,60.58257616247996,54.54545454545454,45.464203499999996,9.189982,Italy
64,Florence,33.848133848133855,61.5998935179023,31.854576931400132,59.541465682137925,38.37520042757883,72.72727272727273,43.769560399999996,11.2558136,Italy
65,Venice,45.99274599274599,69.00039930786637,12.421553776238909,69.0047747067505,14.190272581507216,54.54545454545454,45.440847399999996,12.315515099999999,Italy
66,Santo Domingo,26.25482625482626,55.46386263809397,20.11469378922311,43.46984603909028,68.58631747728487,9.090909090909092,18.4860575,-69.93121169999999,Dominican Republic
67,Lagos,9.980109980109981,54.85159057633437,28.8141095001082,28.83904538231191,66.24799572421165,0.0,6.5243793,3.3792057,Nigeria
